 ,Label,Area(Center Circle),Mean(Center Circle),StdDev(Center Circle),Mode(Center Circle),Min(Center Circle),Max(Center Circle),X(Center Circle),Y(Center Circle),XM(Center Circle),YM(Center Circle),Perim.(Center Circle),BX(Center Circle),BY(Center Circle),Width(Center Circle),Height(Center Circle),Major(Center Circle),Minor(Center Circle),Angle(Center Circle),Circ.(Center Circle),Feret(Center Circle),IntDen(Center Circle),Median(Center Circle),Skew(Center Circle),Kurt(Center Circle),%Area(Center Circle),RawIntDen(Center Circle),FeretX(Center Circle),FeretY(Center Circle),FeretAngle(Center Circle),MinFeret(Center Circle),AR(Center Circle),Round(Center Circle),Solidity(Center Circle),MinThr(Center Circle),MaxThr(Center Circle),Area(BG),Mean(BG),StdDev(BG),Mode(BG),Min(BG),Max(BG),X(BG),Y(BG),XM(BG),YM(BG),Perim.(BG),BX(BG),BY(BG),Width(BG),Height(BG),Major(BG),Minor(BG),Angle(BG),Circ.(BG),Feret(BG),IntDen(BG),Median(BG),Skew(BG),Kurt(BG),%Area(BG),RawIntDen(BG),FeretX(BG),FeretY(BG),FeretAngle(BG),MinFeret(BG),AR(BG),Round(BG),Solidity(BG),MinThr(BG),MaxThr(BG),Area(Whole cell),Mean(Whole cell),StdDev(Whole cell),Mode(Whole cell),Min(Whole cell),Max(Whole cell),X(Whole cell),Y(Whole cell),XM(Whole cell),YM(Whole cell),Perim.(Whole cell),BX(Whole cell),BY(Whole cell),Width(Whole cell),Height(Whole cell),Major(Whole cell),Minor(Whole cell),Angle(Whole cell),Circ.(Whole cell),Feret(Whole cell),IntDen(Whole cell),Median(Whole cell),Skew(Whole cell),Kurt(Whole cell),%Area(Whole cell),RawIntDen(Whole cell),FeretX(Whole cell),FeretY(Whole cell),FeretAngle(Whole cell),MinFeret(Whole cell),AR(Whole cell),Round(Whole cell),Solidity(Whole cell),MinThr(Whole cell),MaxThr(Whole cell)
1,Experiment-81.czi,7.364E0,9.071E1,2.826E1,8.200E1,2.100E1,1.890E2,5.071E1,1.420E0,5.069E1,1.419E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.680E2,9.000E1,2.567E-1,-1.125E-2,1.000E2,6.495E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.821E-1,2.198E0,0.000E0,0.000E0,1.800E1,1.978E0,1.420E0,2.238E0,1.349E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.004E0,0.000E0,4.662E0,2.392E1,1.009E1,6.810E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.733E1,3.267E1,7.000E1,0.000E0,1.990E2,4.924E1,1.420E0,5.064E1,1.433E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.180E3,7.800E1,1.352E-1,-1.686E-1,9.999E1,6.009E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
2,Experiment-81.czi,7.364E0,9.092E1,2.804E1,6.200E1,2.500E1,1.750E2,5.071E1,1.420E0,5.069E1,1.416E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.695E2,8.900E1,4.125E-1,9.831E-2,1.000E2,6.510E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.667E-1,2.088E0,0.000E0,0.000E0,1.700E1,1.978E0,1.420E0,2.234E0,1.392E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.819E0,0.000E0,4.470E0,2.169E1,1.051E1,6.630E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.794E1,3.293E1,8.200E1,0.000E0,2.210E2,4.924E1,1.420E0,5.068E1,1.434E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.228E3,7.800E1,2.213E-1,-1.190E-1,9.999E1,6.056E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
3,Experiment-81.czi,7.364E0,9.111E1,2.823E1,9.500E1,2.500E1,1.990E2,5.071E1,1.420E0,5.071E1,1.411E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.709E2,9.000E1,4.841E-1,1.495E-1,1.000E2,6.524E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.137E-1,2.160E0,0.000E0,0.000E0,1.900E1,1.978E0,1.420E0,2.073E0,1.361E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.181E0,0.000E0,5.174E0,2.927E1,8.462E0,6.010E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.701E1,3.283E1,7.300E1,0.000E0,2.320E2,4.924E1,1.420E0,5.065E1,1.424E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.154E3,7.600E1,2.274E-1,-8.068E-2,9.996E1,5.983E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
4,Experiment-81.czi,7.364E0,9.115E1,2.978E1,7.200E1,2.100E1,2.220E2,5.071E1,1.420E0,5.070E1,1.418E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.712E2,8.700E1,6.405E-1,7.091E-1,1.000E2,6.527E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.974E-1,2.269E0,0.000E0,0.000E0,1.900E1,1.978E0,1.420E0,2.007E0,1.608E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.189E0,0.000E0,4.516E0,2.183E1,1.000E1,6.990E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.769E1,3.292E1,7.900E1,0.000E0,2.220E2,4.924E1,1.420E0,5.060E1,1.435E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.208E3,7.700E1,2.349E-1,-1.317E-1,9.997E1,6.037E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
5,Experiment-81.czi,7.364E0,8.937E1,2.755E1,8.800E1,1.700E1,1.940E2,5.071E1,1.420E0,5.069E1,1.413E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.581E2,8.800E1,3.809E-1,1.848E-1,1.000E2,6.399E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,4.726E-1,1.905E0,0.000E0,0.000E0,1.700E1,1.978E0,1.420E0,1.910E0,1.502E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,5.687E0,0.000E0,4.923E0,2.663E1,8.974E0,5.530E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.809E1,3.287E1,6.900E1,2.000E0,2.250E2,4.924E1,1.420E0,5.062E1,1.429E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.240E3,7.800E1,1.992E-1,-1.518E-1,1.000E2,6.067E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
6,Experiment-81.czi,7.364E0,9.336E1,2.756E1,6.900E1,3.000E1,1.870E2,5.071E1,1.420E0,5.071E1,1.416E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.874E2,9.300E1,3.328E-1,-8.027E-2,1.000E2,6.684E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.222E-1,2.203E0,0.000E0,0.000E0,2.300E1,1.978E0,1.420E0,1.915E0,1.204E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.284E0,0.000E0,5.514E0,3.549E1,8.547E0,6.110E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.873E1,3.322E1,8.100E1,0.000E0,2.480E2,4.924E1,1.420E0,5.058E1,1.441E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.292E3,7.900E1,2.033E-1,-1.675E-3,9.999E1,6.118E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
7,Experiment-81.czi,7.364E0,9.381E1,2.962E1,7.400E1,1.900E1,1.930E2,5.071E1,1.420E0,5.071E1,1.399E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.908E2,9.200E1,2.870E-1,-2.544E-1,1.000E2,6.717E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,6.564E-1,2.252E0,0.000E0,0.000E0,1.700E1,1.978E0,1.420E0,2.072E0,1.606E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.899E0,0.000E0,3.949E0,1.606E1,1.128E1,7.680E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.894E1,3.350E1,8.400E1,1.000E0,2.400E2,4.924E1,1.420E0,5.059E1,1.431E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.308E3,7.800E1,2.289E-1,-1.001E-1,1.000E2,6.134E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
8,Experiment-81.czi,7.364E0,9.186E1,2.833E1,7.200E1,2.400E1,1.870E2,5.071E1,1.420E0,5.070E1,1.418E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.764E2,9.000E1,4.971E-1,1.071E-1,1.000E2,6.577E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.120E-1,2.010E0,0.000E0,0.000E0,1.600E1,1.978E0,1.420E0,2.076E0,1.389E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.160E0,0.000E0,4.646E0,2.307E1,9.060E0,5.990E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.952E1,3.311E1,7.200E1,0.000E0,2.170E2,4.924E1,1.420E0,5.060E1,1.432E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.355E3,7.900E1,1.693E-1,-1.573E-1,9.997E1,6.179E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
9,Experiment-81.czi,7.364E0,9.473E1,2.821E1,8.300E1,2.200E1,1.790E2,5.071E1,1.420E0,5.071E1,1.420E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.976E2,9.200E1,3.395E-1,-1.818E-1,1.000E2,6.783E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.821E-1,2.220E0,0.000E0,0.000E0,2.000E1,1.978E0,1.420E0,1.920E0,1.286E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.004E0,0.000E0,4.658E0,2.347E1,1.000E1,6.810E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.982E1,3.361E1,6.700E1,1.000E0,2.200E2,4.924E1,1.420E0,5.063E1,1.433E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.379E3,8.000E1,1.831E-1,-1.184E-1,1.000E2,6.202E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
10,Experiment-81.czi,7.364E0,9.206E1,2.840E1,7.800E1,2.200E1,1.870E2,5.071E1,1.420E0,5.070E1,1.420E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.779E2,9.000E1,2.908E-1,-5.612E-2,1.000E2,6.591E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,6.222E-1,2.321E0,0.000E0,0.000E0,2.100E1,1.978E0,1.420E0,2.019E0,1.238E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.487E0,0.000E0,4.578E0,2.321E1,1.026E1,7.280E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.924E1,3.358E1,7.800E1,0.000E0,2.090E2,4.924E1,1.420E0,5.062E1,1.435E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.332E3,7.900E1,1.731E-1,-2.225E-1,9.997E1,6.157E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
11,Experiment-81.czi,7.364E0,9.468E1,2.977E1,9.700E1,2.300E1,2.270E2,5.071E1,1.420E0,5.071E1,1.410E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.972E2,9.300E1,5.310E-1,5.978E-1,1.000E2,6.779E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,4.940E-1,2.009E0,0.000E0,0.000E0,2.300E1,1.978E0,1.420E0,2.191E0,1.595E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,5.944E0,0.000E0,5.555E0,3.712E1,9.487E0,5.780E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,8.004E1,3.365E1,8.500E1,0.000E0,2.270E2,4.924E1,1.420E0,5.061E1,1.435E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.396E3,8.000E1,1.735E-1,-1.691E-1,9.997E1,6.219E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
12,Experiment-81.czi,7.364E0,9.239E1,2.908E1,9.700E1,3.100E1,2.280E2,5.071E1,1.420E0,5.070E1,1.421E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.803E2,9.100E1,4.909E-1,5.302E-1,1.000E2,6.615E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,4.932E-1,2.107E0,0.000E0,0.000E0,2.200E1,1.978E0,1.420E0,1.967E0,1.392E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,5.934E0,0.000E0,5.607E0,3.680E1,8.462E0,5.770E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.931E1,3.342E1,9.000E1,0.000E0,2.280E2,4.924E1,1.420E0,5.061E1,1.431E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.338E3,7.900E1,1.752E-1,-1.747E-1,9.996E1,6.163E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
13,Experiment-81.czi,7.364E0,9.254E1,2.769E1,7.100E1,1.700E1,1.950E2,5.071E1,1.420E0,5.072E1,1.410E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.815E2,9.100E1,2.420E-1,-3.270E-2,1.000E2,6.626E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.675E-1,2.166E0,0.000E0,0.000E0,2.300E1,1.978E0,1.420E0,2.072E0,1.212E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.829E0,0.000E0,4.892E0,2.830E1,9.744E0,6.640E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.896E1,3.318E1,7.200E1,0.000E0,1.970E2,4.924E1,1.420E0,5.057E1,1.426E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.310E3,7.800E1,2.075E-1,-2.004E-1,9.996E1,6.135E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
14,Experiment-81.czi,7.364E0,9.277E1,2.709E1,7.800E1,2.300E1,1.870E2,5.071E1,1.420E0,5.071E1,1.416E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.832E2,9.300E1,2.741E-1,-8.517E-2,1.000E2,6.643E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.692E-1,2.261E0,0.000E0,0.000E0,2.100E1,1.978E0,1.420E0,2.073E0,1.459E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.850E0,0.000E0,5.011E0,2.884E1,9.231E0,6.660E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.901E1,3.331E1,9.200E1,0.000E0,2.100E2,4.924E1,1.420E0,5.060E1,1.436E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.314E3,7.900E1,1.993E-1,-1.677E-1,9.997E1,6.139E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
15,Experiment-81.czi,7.364E0,9.226E1,2.775E1,7.000E1,1.600E1,1.930E2,5.071E1,1.420E0,5.071E1,1.408E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.794E2,9.100E1,4.183E-1,3.053E-1,1.000E2,6.606E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.735E-1,2.173E0,0.000E0,0.000E0,1.900E1,1.978E0,1.420E0,1.853E0,1.465E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.901E0,0.000E0,4.742E0,2.447E1,1.077E1,6.710E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.934E1,3.322E1,9.200E1,0.000E0,2.150E2,4.924E1,1.420E0,5.064E1,1.435E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.340E3,7.900E1,1.672E-1,-2.125E-1,9.999E1,6.165E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
16,Experiment-81.czi,7.364E0,9.143E1,2.728E1,8.800E1,2.500E1,1.830E2,5.071E1,1.420E0,5.071E1,1.419E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.733E2,9.000E1,3.109E-1,-2.207E-1,1.000E2,6.546E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,6.462E-1,2.381E0,0.000E0,0.000E0,2.200E1,1.978E0,1.420E0,2.001E0,1.680E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.775E0,0.000E0,4.679E0,2.522E1,1.060E1,7.560E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.900E1,3.315E1,8.800E1,0.000E0,2.530E2,4.924E1,1.420E0,5.063E1,1.438E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.313E3,7.900E1,1.602E-1,-1.226E-1,9.996E1,6.138E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
17,Experiment-81.czi,7.364E0,9.273E1,2.837E1,9.600E1,1.700E1,1.850E2,5.071E1,1.420E0,5.071E1,1.424E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.829E2,9.200E1,2.433E-1,-5.320E-2,1.000E2,6.640E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,5.744E-1,2.419E0,0.000E0,0.000E0,2.900E1,1.978E0,1.420E0,1.909E0,1.583E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,6.911E0,0.000E0,5.595E0,3.806E1,8.889E0,6.720E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.879E1,3.314E1,7.100E1,0.000E0,2.130E2,4.924E1,1.420E0,5.061E1,1.432E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.296E3,7.800E1,1.751E-1,-2.271E-1,9.999E1,6.122E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
18,Experiment-81.czi,7.364E0,9.080E1,2.777E1,9.400E1,2.000E1,1.960E2,5.071E1,1.420E0,5.068E1,1.429E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.686E2,9.100E1,2.386E-1,-2.145E-1,1.000E2,6.501E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,6.650E-1,2.393E0,0.000E0,0.000E0,2.000E1,1.978E0,1.420E0,1.728E0,1.476E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,8.001E0,0.000E0,4.285E0,1.957E1,1.068E1,7.780E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.781E1,3.315E1,6.400E1,0.000E0,2.000E2,4.924E1,1.420E0,5.066E1,1.439E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.218E3,7.700E1,2.142E-1,-1.677E-1,9.999E1,6.046E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
19,Experiment-81.czi,7.364E0,9.256E1,2.846E1,7.400E1,2.100E1,2.040E2,5.071E1,1.420E0,5.070E1,1.419E0,9.558E0,4.919E1,2.941E0,3.042E0,3.042E0,3.062E0,3.062E0,0.000E0,1.000E0,3.042E0,6.816E2,9.100E1,3.585E-1,2.330E-1,1.000E2,6.627E4,4.919E1,1.521E0,0.000E0,3.042E0,1.000E0,1.000E0,1.011E0,0.000E0,2.550E2,1.203E1,6.205E-1,2.266E0,0.000E0,0.000E0,2.600E1,1.978E0,1.420E0,2.317E0,1.419E0,1.399E1,0.000E0,2.941E0,3.955E0,3.042E0,4.463E0,3.433E0,0.000E0,7.720E-1,4.990E0,7.467E0,0.000E0,4.927E0,3.016E1,1.137E1,7.260E2,0.000E0,0.000E0,1.424E2,3.042E0,1.300E0,7.692E-1,1.000E0,0.000E0,2.550E2,7.991E1,7.829E1,3.312E1,7.400E1,0.000E0,2.450E2,4.924E1,1.420E0,5.060E1,1.439E0,5.862E1,3.610E1,2.941E0,2.627E1,3.042E0,2.964E1,3.433E0,0.000E0,2.923E-1,2.644E1,6.257E3,7.800E1,2.103E-1,-7.324E-2,9.999E1,6.083E5,3.560E2,0.000E0,1.734E2,3.042E0,8.633E0,1.158E-1,1.000E0,0.000E0,2.550E2
